,City,Cloudiness,Country,Datetime,Humidity,Lat,Long,Max Temp,Wind Speed
270,Griffith,75,US,06/22/2021,46,41.5284,-87.4237,73.35,1.99
271,Innisfail,98,AU,06/22/2021,81,-17.5333,146.0333,73.87,7.96
272,Fayaoué,32,NC,06/22/2021,64,-20.65,166.5333,73.09,21.9
273,Bafoulabé,99,ML,06/22/2021,58,13.8065,-10.8321,80.58,9.37
274,Ţahţā,0,EG,06/22/2021,30,26.7693,31.5021,84.2,11.5
275,Boyolangu,61,ID,06/22/2021,91,-8.1181,111.8935,75.96,1.21
276,Vestmannaeyjar,100,IS,06/22/2021,77,63.4427,-20.2734,48.04,10.71
277,Mehamn,100,NO,06/22/2021,89,71.0357,27.8492,43.86,17.0
278,Montevideo,0,UY,06/22/2021,76,-34.8335,-56.1674,54.0,8.05
279,Antananarivo,75,MG,06/22/2021,87,-18.9137,47.5361,51.76,5.75
280,Te Anau,44,NZ,06/22/2021,76,-45.4167,167.7167,44.44,1.28
281,Tomatlán,84,MX,06/22/2021,76,19.9333,-105.25,81.19,9.06
282,Kimberley,15,ZA,06/22/2021,53,-28.7323,24.7623,49.69,8.05
283,Lianran,100,CN,06/22/2021,89,24.9227,102.485,64.94,2.24
284,Puerto del Rosario,14,ES,06/22/2021,73,28.5004,-13.8627,67.75,12.66
285,Kidodi,85,TZ,06/22/2021,74,-7.6036,37.0044,69.64,0.92
286,Mana,10,GF,06/22/2021,85,5.6592,-53.7767,78.17,8.55
287,Camocim,25,BR,06/22/2021,80,-2.9022,-40.8411,78.03,11.68
288,Nouadhibou,0,MR,06/22/2021,73,20.931,-17.0347,71.58,17.27
289,Khingansk,14,RU,06/22/2021,55,49.1167,131.1833,70.25,5.91
290,Key West,75,US,06/22/2021,81,24.5557,-81.7826,86.0,8.05
291,Coos Bay,90,US,06/22/2021,89,43.3665,-124.2179,67.32,9.22
292,Kolondiéba,100,ML,06/22/2021,74,11.0882,-6.8926,73.83,4.25
293,Pochutla,62,MX,06/22/2021,74,15.7432,-96.4661,85.82,2.8
